country,capital,alpha-3,continent,teritory
Benin,Porto-Novo,BEN,Africa,"Porto-Novo, city and capital of Benin. It lies on the Gulf of Guinea in western Africa. It is located on a coastal lagoon at the extreme southeastern part of the country and was probably founded in the late 16th century. The city, formerly known as Ajase, served as the capital for the Yoruba state of Popo. It later became the centre of the kingdom of Porto-Novo and flourished as a result of slave trade with the Portuguese. The ruins of some old African palaces remain, and there are many colonial-style buildings, including the old Portuguese cathedral. The city is the administrative capital of the government of Benin. Government buildings include the national archives and the library. Porto-Novo is connected by road and rail to the country’s main industrial centre at Cotonou and by road to Lagos, Nigeria. It has been somewhat bypassed for commercial and industrial development since the building of a railway to the interior and the improvement of deepwater harbour facilities in Cotonou. Numerous African artisans and guilds are in the city."
Bhutan,Thimphu,BTN,Asia,"Thimphu, also spelled Thimbu, capital of Bhutan. The city, situated in the west-central part of the country, is in the Himalaya Mountains on the Raidak (also called Thimphu, or Wong) River at about 7,000 feet (2,000 metres) above sea level. It was designated the official seat of government in 1962 (formerly the seat was wherever the king resided), and a large construction program was undertaken with Indian aid. Tashi Chho dzong (fortress, or castle), the traditional fortified monastery that has been remodeled and extended to house the offices of the royal government, is one of the finest specimens of traditional Bhutanese architecture. Terraced fields around the royal palace indicate the high priority given to agriculture. The principal crops in the area are rice, corn (maize), and wheat. Lumbering is also important, and there is a sawmill in the city. A hydroelectric power plant began operation in 1966. The city has an airplane landing strip, and the Indo-Bhutan National Highway (opened 1968) connects the capital to Phuntsholing, the principal gateway into Bhutan from India"
Bosnia and Herzegovina,Sarajevo,BIH,Europe,"Sarajevo, capital and cultural centre of Bosnia and Herzegovina. It lies in the narrow valley of the Miljacka River at the foot of Mount Trebević. The city retains a strong Muslim character, having many mosques, wooden houses with ornate interiors, and the ancient Turkish marketplace (the Baščaršija); much of the population is Muslim. The city’s principal mosques are the Gazi Husreff-Bey’s Mosque, or Begova Džamija (1530), and the Mosque of Ali Pasha (1560–61). Husreff-Bey also built the medrese (madrasah), a Muslim school of theology; the Imaret, a free kitchen for the poor; and the hamam, public baths. A late 16th-century clock tower is adjacent to the Begova Džamija. Museums include the Mlada Bosna (“Young Bosnia”), an annex of the town museum; the Museum of the Revolution, chronicling the history of Bosnia and Herzegovina since 1878; and a Jewish museum. Sarajevo has a university (1949) that includes faculties in mining and technology, an academy of sciences, an art college, and several hospitals. A number of streets named for trades survive from an original 37, and the Kazandžviluk (coppersmith’s bazaar) is preserved in its original form. Near Sarajevo are the remains of a Neolithic settlement of the Butmir culture. The Romans established a rest centre at nearby Ilidža, where the Bosna River has its source; there is still a sulfurous spa. The Goths, followed by the Slavs, began settling in the area about the 7th century. In 1415 Sarajevo is mentioned as Vrhbosna, and, after the Turks invaded in the late 15th century, the town developed as a trading centre and stronghold of Muslim culture. Dubrovnik merchants built the Latin quarter (Latinluk), and migrating Sephardic Jews founded their quarter, Čifuthani. The 17th and 18th centuries were less fortunate—Prince Eugene of Savoy burned the town in 1697, while fires and plagues decimated the population."
Botswana,Gaborone,BWA,Africa,"Gaborone, formerly (until 1969) Gaberones, town, capital of Botswana. The seat of government was transferred there from Mafeking (now spelled Mafikeng), South Africa, in 1965, one year before Botswana became independent of Britain. Gaborone is located on the Cape-Zimbabwe railway and is the site of government offices, parliament buildings, health facilities, a thermal power station, and an airport. It is the seat of the University of Botswana (founded 1976), and it also has a national museum and art gallery (1968), which includes departments of natural history, archaeology, and prehistory."
Brunei Darussalam,Bandar Seri Begawan,BRN,Asia,"The city lies along the Brunei River near its mouth on Brunei Bay, an inlet of the South China Sea on the northern coast of the island of Borneo. Bandar Seri Begawan was once predominantly an agricultural trade centre and river port."
Bulgaria,Sofia,BGR,Europe,"Sofia, Bulgarian Sofiya, capital of Bulgaria. It is situated near the geographical centre of the Balkans region, in the Sofia Basin, a troughlike valley in the western part of the country. The Serdi (Sardi), a Thracian tribe, established a settlement in the region in the 8th century bce. This community was conquered soon after 29 bce by the Romans, who named it Serdica (Greek: Sardica). It flourished during the reign of the emperor Trajan (98–117) and reached its greatest height under the emperor Constantine I the Great; in 342 or 343 it was the site of an important meeting of Christian bishops, the Council of Sardica. From the 4th century it was part of the Western Roman Empire, but with the decline of Rome passed to Byzantium; it was plundered by Attila and the Huns in 441–447. During the 6th century Byzantine influence increased under the emperor Justinian, and the restored Church of St. Sofia, which later gave the town its name, survives from this period. In 809 the Bulgarian khan Krum seized the town and incorporated it in the Bulgarian state; it was given the Slav name Sredets (Greek: Triaditsa). It was under Byzantine rule from 1018 until 1185, when the second Bulgarian Empire was established."
Burundi,Bujumbura,BDI,Africa,"Bujumbura, city, western Burundi. Bujumbura is the nation’s capital and largest urban centre. The city’s industry specializes in textiles, leather, paper, chemicals, and agricultural products. Bujumbura also serves as the country’s main port on Lake Tanganyika; most of Burundi’s foreign trade is shipped between the capital and Kigoma, Tanzania, and, less frequently, to Kalemi, Congo (Kinshasa). The surrounding region yields bananas, cassava (manioc), beans, corn (maize), wheat, and cotton. There is an international airport directly northwest of the city and road connections with Bukavu and Goma in Congo and Kigali in Rwanda. The University of Burundi (founded 1960) and the Centre of Burundi Civilization are two of the city’s most important cultural institutions. The city was the epicentre of an ethnically inspired civil war in the 1990s and early 21st century."
Central African Republic,Bangui,CAF,Africa,"Bangui, city, capital of the Central African Republic, located on the west bank of the Ubangi River. It is connected by an extended 1,100-mile (1,800-km) river-and-rail transport system with Pointe-Noire on the west-central African coast and with Brazzaville (both in the Republic of the Congo). The river port development includes a quay 1,300 feet (400 metres) long and an oil port downstream. Diamonds, cotton, timber, coffee, and sisal are shipped from Bangui. The city is served by Bangui-Mpoko International Airport and by ferry service to Zongo, Democratic Republic of the Congo. There is also a network of roads connecting Bangui with Cameroon, Chad, and the upper Central African Republic. Industries in Bangui include soap making and brewing, but the city is mainly a commercial and administrative centre. Bangui is the site of the University of Bangui (1969), the National School of Arts (1966), and several scientific and technological research institutes. The Boganda Museum in Bangui exhibits traditional musical instruments, weapons, village architecture, hunting tools, pottery, and religious objects. The city suffered significant looting and damage during the coup attempts of the late 1990s and early 2000s."
Comoros,Moroni,COM,Africa,"Moroni, coastal town, capital, and largest settlement of Comoros, southwestern Grande Comore (also called Njazidja) island in the Indian Ocean. It was founded by Arabic-speaking settlers, possibly as early as the 10th century ad. Dzaoudzi, the principal city of the island of Mayotte, was the original administrative capital of Comoros, but Moroni succeeded it in 1958. The port of Moroni consists of a small quay in a natural cove and lacks natural protection for shipping. Vanilla, cacao, and coffee are exported from the port, whose facilities include warehouse storage for imports and exports and for petroleum products. Moroni’s industries manufacture soft drinks, processed and distilled essential oils, metal and wood products, and processed pozzolana (cement). Despite the presence of modern-style office buildings, Moroni retains a traditional Arabic appearance. The city has numerous mosques, including Chiounda, a pilgrimage centre. Roads link Moroni with the coastal towns of Hahaia to the north and Mitsoudje to the south, and an international airport is nearby."
Croatia,Zagreb,HRV,Europe,"Capital city of Croatia. It is situated on the slopes of Medvednica Hill (Zagrebačka Gora) to the north and the floodplain of the Sava River to the south. Zagreb’s old town consists of two medieval settlements on the hill: Grič, the civil settlement, which was renamed Gradec (“Fortress”)"
Cyprus,Nicosia,CYP,Europe,"Nicosia, Greek Lefkosía, Turkish Lefkoşa, city and capital of the Republic of Cyprus. It lies along the Pedieos River, in the centre of the Mesaoria Plain between the Kyrenia Mountains (north) and the Troodos range (south). The city is also the archiepiscopal seat of the autocephalous (having the right to elect its own archbishop and bishops) Church of Cyprus. Nicosia came successively under the control of the Byzantines (330–1191), the Lusignan kings (1192–1489), the Venetians (1489–1571), the Turks (1571–1878), and the British (1878–1960), and thus reflects the vicissitudes of Cypriot history and both Eastern and Western influences. Nicosia, known in antiquity as Ledra, is a medieval corruption of the Byzantine name Lefkosia. The city was a kingdom in the 7th century bce and has been a bishopric from the 4th century ce. It has been the seat of government of Cyprus since the 10th century. The city’s walled fortifications, originally erected by the Lusignan kings and later rebuilt by the Venetians to encompass a smaller area (3 miles [5 km] round), did not prevent invasions by the Genoese in 1373, the Mamlūks in 1426, and the Turks in 1570. Standing in mute testimony to the religious and political changes of the city is the Cathedral of St. Sophia. Begun in 1209, completed in 1325, and pillaged by invaders, it was converted into the chief mosque of Cyprus in 1571. In 1954 its name was changed to the Selimiye Mosque in honour of the Ottoman sultan Selim II, under whose reign Cyprus was conquered."
Côte d'Ivoire,Yamoussoukro,CIV,Africa,"Yamoussoukro, town and capital (de jure), south-central Côte d’Ivoire (Ivory Coast), located about 170 miles (274 km) northwest of the country’s de facto capital, Abidjan. Although Yamoussoukro was officially named the new national capital in 1983, the transfer of government functions proceeded slowly, and Abidjan remained the de facto capital into the 21st century. For more than three decades after Côte d’Ivoire achieved independence in 1960, Yamoussoukro served as the country’s “second capital” because it was the birthplace, home, and unofficial headquarters of President Félix Houphouët-Boigny, Côte d’Ivoire’s head of state from 1960 to 1993. The town housed the assembly hall of the Democratic Party of Côte d’Ivoire (Parti Démocratique de la Côte d’Ivoire), the country’s only political party until 1990. Yamoussoukro became a major urban centre largely because of Houphouët-Boigny’s influence, with a dense infrastructure of roads and public utilities. The fishing, forestry, and perfume industries play important roles in the town’s economy. Sites of cultural importance in Yamoussoukro include the Yamoussoukro Basilica, which is modeled after St. Peter’s in Vatican City; a large mosque; other churches; and secondary schools."
The Democratic Republic of the Congo,Kinshasa,COD,Africa,"Kinshasa, formerly (until 1966) Léopoldville, largest city and capital of the Democratic Republic of the Congo. It lies about 320 miles (515 km) from the Atlantic Ocean on the south bank of the Congo River. One of the largest cities of sub-Saharan Africa, it is a special political unit equivalent to a Congolese region, with its own governor. The city’s inhabitants are popularly known as Kinois. Kinshasa is not only the capital but also the centre of the dynamic and contradictory influences that have shaped the country’s character in modern Africa. The only city not clearly identified with any particular region of the country, it was until 1997 the seat of a long-lasting Zairean military government based, on the one hand, on the strength of the armed forces and, on the other, on a technique of political and social compromise that until its later years gained the rather grudging collaboration of most of the citizens. Caught between spectacular wealth and massive poverty, most Kinois must spend a considerable amount of their time scrambling for necessities that are in erratic supply. Nevertheless, they have found the means to make Kinshasa a source of distinctive influence in intellectual and popular culture felt throughout Africa."
Denmark,Copenhagen,DNK,Europe,"Capital and largest city of Denmark. It is located on the islands of Zealand (Sjælland) and Amager, at the southern end of The Sound (Øresund)."
Djibouti,Djibouti,DJI,Africa,"The French seized a small coastal area at the entrance to the Red Sea during the “scramble for Africa” in the late 19th century. At that time the only local historical flag was the plain red banner of the former sultanate of Tajoura. The name for the coastal area, before it was changed to French Territory of the Afars and Issas, had been French Somaliland. Changing political circumstances in the 20th century resulted in the independence of the area as a new country, which took on the name of its capital city, Djibouti. As in many other lands, the flag of a political party eventually was adapted to become the new national flag. The current flag is based on a design that was used by the Liberation Front of the Coast of the Somalis, an organization allied with the African People’s League for Independence. It was officially hoisted on June 27, 1977, when independence was achieved. Djibouti is a multiethnic state, as reflected in the design of the flag. The Issa are a subgroup of the Somali, whereas the Afar, or Danakil, are related to people living across the border in Ethiopia; both are Muslim. The Afar colour is green, symbolic of prosperity. The Issa colour is light blue, symbolizing sea and sky and referring to the background colour of the national flag of neighbouring Somalia. In addition, the Djibouti flag has a triangle standing for equality, its white colour symbolizing peace. It bears a star for unity, coloured red for independence."
Timor-Leste,Dili,TLS,Asia,"Dili, also spelled Dilly or Dilli, city and capital of East Timor. It lies on Ombai Strait on the northern coast of Timor island, the easternmost of the Lesser Sunda Islands. Dili is the chief port and commercial centre for East Timor; it also has an airport. The population is mostly Timorese and Atonese with minorities of Portuguese, Eurasians, and Arab Muslims. Dili was settled about 1520 by the Portuguese, who made it an administrative centre; Spanish, Dutch, and British forces also vied for control of the colony. During World War II it was occupied by the Japanese. East Timor achieved independence from Portugal in 1975, but Indonesian forces invaded and, in 1976, designated Dili the capital of East Timor (Timor Timur) propinsi (province). However, a brutal guerrilla war ensued between Indonesian and pro-independence forces, during which thousands of civilians were killed. In 1999, when the territory gained independence under UN supervision, Dili was designated the administrative centre. It became the capital when East Timor achieved full sovereignty in 2002."
Egypt,Cairo,EGY,Africa,"Cairo, Arabic Al-Qāhirah (“The Victorious”), city, capital of Egypt, and one of the largest cities in Africa. Cairo has stood for more than 1,000 years on the same site on the banks of the Nile, primarily on the eastern shore, some 500 miles (800 km) downstream from the Aswan High Dam. Located in the northeast of the country, Cairo is the gateway to the Nile delta, where the lower Nile separates into the Rosetta and Damietta branches. Metropolitan Cairo is made up of the Cairo muḥāfazah (governorate) as well as other districts, some of which belong to neighbouring governorates such as Al-Jīzah and Qalūbiyyah. Cairo is fan-shaped, narrowest in the south, where the river valley is wedged between desert escarpments, and widest in the north, where the valley blends into the delta. Over the centuries the city expanded westward, as a receding river channel left land flood-free. In response to heightened demand, however, the city also has been elongated to the north and south and has developed an expanding annex on the Nile’s western shore."
Equatorial Guinea,Malabo,GNQ,Africa,"Malabo, formerly (until 1973) Santa Isabel, capital of Equatorial Guinea. It lies on the northern edge of the island of Bioko (or Fernando Po) on the rim of a sunken volcano. With an average temperature of 77 °F (25 °C) and an annual rainfall of 75 inches (1,900 mm), it has one of the more onerous climates in the Bight of Biafra (Gulf of Guinea). Malabo is the republic’s commercial and financial centre. Its harbour, providing one of the deepest seaports in the region, can dock several ships, and the main activity is the export of cocoa, timber, and coffee. It also has an international airport with flights to Bata, in continental Equatorial Guinea, and to countries in Africa and Europe, and to the United States. The city’s European population declined after the riots of 1969 and, later, after its Nigerian contract workers returned to Nigeria in the mid-1970s. The discovery and development of the country’s oil reserves in the 1980s and ’90s led to an increase in business and development in the city."
Estonia,Tallinn,EST,Europe,"Tallinn, Russian Tallin, German Reval, formerly (until 1918) Revel, city, capital of Estonia, on Tallinn Bay of the Gulf of Finland. A fortified settlement existed there from the late 1st millennium bc until the 10th–11th century ad, and there was a town on the site in the 12th century. In 1219 it was captured by the Danes, who built a new fortress on Toompea hill. Trade flourished, especially after Tallinn joined the Hanseatic League in 1285. In 1346 it was sold to the Teutonic Knights, and on the dissolution of the order in 1561 it passed to Sweden. Peter I (the Great) captured Tallinn in 1710, and it remained a Russian city until it became the capital of independent Estonia from 1918 to 1940. (Estonia was annexed to the Union of Soviet Socialist Republics from 1940 to 1991.) The city was occupied by German forces from 1941 to 1944 and was severely damaged. After the Supreme Soviet of Estonia declared independence in 1991, Tallinn became the capital of the newly independent state. Both in 1940 and again in 1944–49, many Estonian citizens of Tallinn were deported and imprisoned by Soviet forces for alleged conspiracy, collaboration with the Germans, and opposition to collectivization. Of those exiled, a large proportion settled in Sweden or North America. Russians immigrated to the Estonian capital and now comprise two-fifths of the population. Ethnic Estonians make up roughly half of the city’s population."
Finland,Helsinki,FIN,Europe,"Helsinki, Swedish Helsingfors, capital of Finland. It is the leading seaport and industrial city of the nation. Helsinki lies in the far south of the country, on a peninsula that is fringed by fine natural harbours and that protrudes into the Gulf of Finland. It is the most northerly of continental European capitals. It is often called the “white city of the north” because many of its buildings are constructed of a local light-coloured granite. Helsinki was founded in 1550 by King Gustav I Vasa of Sweden and was intended to compete with the city of Reval (now Tallinn, Estonia), which lies on the southern shore of the Gulf of Finland. Helsinki was originally located at the mouth of the Vantaa River, at a point about 3 mi (4.8 km) north of its present-day location, and was moved down to the latter site in 1640 in order to obtain more open access to the sea. The town was ravaged by a plague in 1710 and burned to the ground in 1713. Its redevelopment was hindered by Russian attacks later in the 18th century, but in 1748 the settlement became more secure when a fortress, called Sveaborg by the Swedes and Suomenlinna by the Finns, was constructed on a group of small islands outside the harbour."
France,Paris,FRA,Europe,"Paris, city and capital of France, situated in the north-central part of the country. People were living on the site of the present-day city, located along the Seine River some 233 miles (375 km) upstream from the river’s mouth on the English Channel (La Manche), by about 7600 bce. The modern city has spread from the island (the Île de la Cité) and far beyond both banks of the Seine. Paris occupies a central position in the rich agricultural region known as the Paris Basin, and it constitutes one of eight départements of the Île-de-France administrative region. It is by far the country’s most important centre of commerce and culture."
Gabon,Libreville,GAB,Africa,"Libreville, city and capital of Gabon, located on the north shore of the Gabon Estuary, which empties into the Gulf of Guinea. It is built on a succession of hills overlooking a well-sheltered port. The former European sector (modern in appearance and the site of the principal administrative and commercial buildings) climbs a plateau that rises from the sea; traditional African villages partially surround this community, ending at the estuary. The international airport is 7 miles (11 km) north, and a growing system of roads links the city with towns in the interior. Pongoue (Mpongwe) people first settled the estuary after the 16th century, followed by the Fang, who had migrated south from the Cameroon area, in the 19th century. Fort-d’Aumale was built by the French in 1843 on the estuary’s north bank, and a Catholic mission was founded a year later. In 1849 a settlement of freed slaves from the ship “Elizia” and a group of Pongoue villages were given the name Libreville (meaning “free town”). In 1850 the French abandoned their fort and resettled on the plateau that is now the site of the administrative and commercial sector. Between 1860 and 1874, the British, Germans, and Americans established businesses in Libreville, which from 1888 to 1904 was the capital of French Equatorial Africa."
Gambia,Banjul,GMB,Africa,"Banjul, formerly (until 1973) Bathurst, city, capital, and Atlantic port of The Gambia, on St. Mary’s Island, near the mouth of the Gambia River. It is the country’s largest city. It was founded in 1816, when the British Colonial Office ordered Captain Alexander Grant to establish a military post on the river to suppress the slave trade and to serve as a trade outlet for merchants ejected from Senegal, which had been restored to France. Grant chose Banjul Island (ceded by the chief of Kombo) as the site, which he renamed St. Mary’s. He named the new settlement for Henry Bathurst, 3rd Earl Bathurst, then colonial secretary. It became the capital of the British colony and protectorate of Gambia and after 1947 was governed by a town council. With The Gambia’s independence in 1965, the town was granted city status and became the national capital. The name was changed to Banjul in 1973."
Germany,Berlin,DEU,Europe,"Berlin, capital and chief urban centre of Germany. The city lies at the heart of the North German Plain, athwart an east-west commercial and geographic axis that helped make it the capital of the kingdom of Prussia and then, from 1871, of a unified Germany. Berlin’s former glory ended in 1945, but the city survived the destruction of World War II. It was rebuilt and came to show amazing economic and cultural growth. Germany’s division after the war put Berlin entirely within the territory of the German Democratic Republic (GDR, or East Germany). The city itself echoed the national partition—East Berlin being the capital of East Germany and West Berlin a Land (state) of the Federal Republic of Germany (FRG, or West Germany). West Berlin’s isolation was later reinforced by the concrete barrier erected in 1961 and known as the Berlin Wall. Its status as an enclave made Berlin a continuous focus of confrontation between the Eastern and Western powers as well as a symbol of Western lifestyle for 45 years. The fall of the East German communist regime—and the accompanying opening of the wall—in late 1989 unexpectedly raised the prospect for Berlin’s reinstatement as the all-German capital. That status was restored in 1990 under the terms of the unification treaty, and subsequently Berlin was designated a state, one of the 16 constituting Germany. These developments heralded the city’s return to its historic position of prominence in European culture and commerce."
Ghana,Accra,GHA,Africa,"Accra, capital and largest city of Ghana, on the Gulf of Guinea (an arm of the Atlantic Ocean). The city lies partly on a cliff, 25 to 40 feet (8 to 12 metres) high, and spreads northward over the undulating Accra plains. The area’s susceptibility to faulting is the cause of occasional earthquakes. When the Portuguese first settled on the coast of what is now Ghana in 1482, the present site of Accra was occupied by several villages of the Ga tribe, ruled from a parent settlement, Ayaso (Ayawaso), located about 15 miles (24 km) north. Between 1650 and 1680 the Europeans built three fortified trading posts—Fort James (English), Fort Crevecoeur (Dutch), and Christiansborg Castle (Danish)—along the coast in the locality. While these European posts were being constructed, Ayaso was destroyed in a tribal war, and its population, together with that of the other major Ga towns on the Accra plains, was drawn to the coast by the prospect of profitable trade with the Europeans. As a result, three coastal villages—Osu (Christiansborg), Dutch Accra (later called Ussher Town), and James Town—sprang up, becoming the nuclei of what was to be Accra. The name Accra itself is a corruption of the Akan word nkran. It refers to the black ants that abound in the vicinity. It came to be applied to the inhabitants of this part of the Accra plains."
